Open,High,Low,Close,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
6.4144643088171485,6.446622218528988,6.382907496530451,6.431895732879639,493729600
6.449628601266614,6.4793821235584055,6.409054923226288,6.443016529083252,601904800
6.443015083760133,6.468561319289456,6.333918324807697,6.3405303955078125,552160000
6.363973537415483,6.371487255475944,6.282826987429116,6.32880973815918,477131200
6.320394866701701,6.371487347719221,6.283128429648899,6.370885848999023,447610800
6.395528614125755,6.401539586941934,6.264793165506217,6.314683437347412,462229600
6.287033091637232,6.304465315541655,6.203783518707674,6.24285364151001,594459600
6.247364749292684,6.339329862823668,6.134060272108536,6.330914497375488,605892000
6.314684939695618,6.325203743359952,6.281925531320086,6.294247627258301,432894000
6.339331498391963,6.359468270909744,6.187257394957505,6.189060688018799,594067600
6.261189998859612,6.467361663774161,6.22843138293306,6.46285343170166,730007600
6.458945455016173,6.4781801747506105,6.296352585470449,6.363373756408691,612152800
6.373890682370194,6.410856965843315,6.2275262855298275,6.253372669219971,608154400
6.214606860860928,6.236245574792656,5.925485698512482,5.9432172775268555,881767600
6.086274260524146,6.15209243870075,6.016548546840464,6.103104591369629,1065699600
6.189659259963583,6.422879850921394,6.088376748617638,6.189358711242676,1867110000
6.21670928112205,6.328811171099147,5.996712381700912,6.2476654052734375,1722568400
6.15900587541027,6.176136353810272,5.971767992962594,5.989499568939209,1173502400
6.043296212897563,6.076956870273054,5.717809140329178,5.772207260131836,1245952400
5.781525785410261,5.890622609906669,5.749367861127333,5.852453708648682,749876400
5.887915765466296,5.9002378621722595,5.811878541579908,5.886412620544434,698342400
5.865676640889437,6.016849480651491,5.843135881634904,5.987696647644043,615328000
5.912560625254383,5.961849823511814,5.757481464701586,5.771907806396484,757652000
5.7893400694955,5.8906226241695645,5.73584317682158,5.874392986297607,850306800
5.881303233958261,5.947121795847802,5.8305113049135535,5.834117889404297,478270800
5.9032430531051245,5.935701514100808,5.8530526179297,5.896330833435059,632886800
5.887311993699346,5.90865134808534,5.838324171181383,5.864170551300049,370361600
5.856959145523187,6.003323154863531,5.832314552956517,5.970864295959473,550345600
5.954035389971698,6.060127101910363,5.875594165514762,6.022258758544922,655468800
6.069141589390607,6.1217364079160514,6.056518945299154,6.113020896911621,543737600
6.1367641640446,6.140370748857202,6.036683441828206,6.087475776672363,436396800
6.059825091123259,6.1277483047943075,6.038486932813643,6.098896026611328,422825200
6.066738354111991,6.107010680977252,6.044197198888892,6.061027526855469,415469600
6.081163505040622,6.085971882932482,5.986492671691173,6.023458957672119,390563600
6.01083559174852,6.050807761169491,5.881903426179476,5.922476291656494,575094800
5.9576408913217085,6.054115024844004,5.945919491152342,6.030673027038574,460566400
5.932093101656591,6.09678973464433,5.917366620373851,6.070943355560303,665126000
6.0823650362682695,6.166216112895157,6.070944587525997,6.149686336517334,507460800
6.183649214561482,6.29635259423419,6.174633152846355,6.281025409698486,550093600
6.309273944707722,6.336322924475821,6.243455389256341,6.276815891265869,566546400
6.27952295253464,6.307473188306914,6.249468875169456,6.291243553161621,372052800
6.289740079117296,6.339028465074331,6.270204010676627,6.332716941833496,366041200
6.459845586376975,6.6029035462536285,6.450528577405776,6.580362796783447,899620400
6.6122202251390645,6.614624213310275,6.559324861307124,6.584270000457764,429889600
6.561131496506301,6.762193850491806,6.548508846792744,6.702686786651611,920259200
6.727028176586155,6.776617510568571,6.708094008881357,6.757382392883301,596218000
6.729433572354464,6.777218818664551,6.711701195587345,6.777218818664551,405700400
6.833419463700351,6.8442392177981946,6.78473217532668,6.810278415679932,416323600
6.773611115565845,6.77721689711527,6.619432856167425,6.727327823638916,493502800
6.737547321117374,6.761590416906882,6.6873568871684475,6.745661735534668,446908000
6.759186954704131,6.805770810297791,6.710199110214925,6.735744953155518,450956800
6.735140736293514,6.762190116314367,6.690360589991967,6.751671314239502,342109600
6.7558798304259735,6.769404120841071,6.648886498121467,6.679542064666748,559445600
6.626046602475909,6.792246439510847,6.616429043072803,6.754678249359131,456419600
6.781424893195695,6.875795576002723,6.735141197854666,6.86317253112793,602431200
6.841534262183864,6.918473125997129,6.837626727731931,6.893527984619141,597780400
6.940112915300371,6.9416160603348,6.799759456260702,6.811781406402588,542284400
6.880908344010415,6.97107058248077,6.868886391200941,6.93951416015625,640875200
7.00262542656534,7.028771961236219,6.961150506006988,6.9842915534973145,540744400
7.110819043943348,7.13726732848774,7.040191306062119,7.088278293609619,527310000
7.077460940509778,7.111121598629096,7.046504819926213,7.0627336502075195,430659600
7.135164738948646,7.174835569886794,6.9951122280344835,7.091886520385742,603145200
7.062133240347657,7.16822414056218,7.055821315311254,7.167623043060303,684507600
7.1589073968499175,7.220217735829615,7.122842349944207,7.1991801261901855,447017200
7.199480873943226,7.270709728724232,7.17273243464571,7.2310380935668945,628502000
7.22622999557947,7.2592895609100045,7.154099888943121,7.211503505706787,572989200
7.255983833695486,7.269809078263918,7.226831001850537,7.266802787780762,334182800
7.27912306372913,7.30527040107466,7.267402064928249,7.2818284034729,333026400
7.2689026096026215,7.297153376613561,7.246361062423391,7.286032676696777,306210800
7.371689174531426,7.387617852620857,7.335323989612724,7.384011268615723,404076400
7.386717934700336,7.4843942733300315,7.378603519616243,7.481088638305664,376784800
7.470568730173486,7.547808552975961,7.349751346166021,7.435405731201172,750545600
7.42428770722563,7.450134103012288,7.266202239261798,7.425489902496338,566924400
7.469667523642324,7.491006083142144,7.30196533760902,7.350953578948975,738326400
7.778022553381373,7.821601715630444,7.685756104546828,7.790645599365234,982391200
